date,image,caption,ig_caption,alt_text,platforms,status
2026-08-26,images/us-024-find-the-long-trend-hiding-inside-the-br.jpg,"Inside most breaking news there's a long, slow trend that has been evolving for years. More strategies: uncommonsense.org.uk/strategies","Inside most breaking news there's a long, slow trend that has been evolving for years. More strategies – link in bio.",Uncommon Strategies card: 'Find the long trend hiding inside the breaking news'. Cream serif type on a forest green background.,all,bluesky:ok
2026-08-27,images/us-025-what-are-people-feeling-that-they-are-no.jpg,What people say in public and what they feel in private are rarely the same thing. The gap is where the real story lives. Stuck? Pick a card: uncommonsense.org.uk/strategies,What people say in public and what they feel in private are rarely the same thing. The gap is where the real story lives. Stuck? Pick a card – link in bio.,Uncommon Strategies card: 'What are people feeling that they are not saying?'. Cream serif type on a forest green background.,all,bluesky:ok
2026-08-28,images/us-026-resist-the-obvious-frame.jpg,The way we see a story is usually framed by someone else. Look for another perspective. Shuffle the deck: uncommonsense.org.uk/strategies,The way we see a story is usually framed by someone else. Look for another perspective. Shuffle the deck – link in bio.,Uncommon Strategies card: 'Resist the obvious frame'. Cream serif type on a forest green background.,all,bluesky:ok
2026-08-29,images/us-027-what-does-this-have-in-common-with-somet.jpg,"However new the problem looks, the Greeks probably had a version of it. 99 cards, one habit of mind: uncommonsense.org.uk/strategies","However new the problem looks, the Greeks probably had a version of it. 99 cards, one habit of mind – link in bio.",Uncommon Strategies card: 'What does this have in common with something ancient?'. Cream serif type on a forest green background.,all,
2026-08-30,images/us-028-ignore-the-consensus-and-think-again.jpg,A consensus is a comfortable place to stop thinking. Go further. The rest of the deck: uncommonsense.org.uk/strategies,A consensus is a comfortable place to stop thinking. Go further. The rest of the deck – link in bio.,Uncommon Strategies card: 'Ignore the consensus and think again'. Cream serif type on a forest green background.,all,
2026-08-31,images/us-029-what-would-a-child-ask-about-this.jpg,Children ask why until the adult runs out of answers. Try finding that point. Draw a card: uncommonsense.org.uk/strategies,Children ask why until the adult runs out of answers. Try finding that point. Draw a card – link in bio.,Uncommon Strategies card: 'What would a child ask about this?'. Cream serif type on a forest green background.,all,
2026-09-01,images/us-030-make-the-implicit-explicit.jpg,Most things run on rules nobody has ever said out loud. Saying one aloud is a small act of rebellion. The full deck: uncommonsense.org.uk/strategies,Most things run on rules nobody has ever said out loud. Saying one aloud is a small act of rebellion. The full deck – link in bio.,Uncommon Strategies card: 'Make the implicit explicit'. Cream serif type on a forest green background.,all,
2026-09-02,images/us-031-find-where-two-unrelated-ideas-touch.jpg,Put two unrelated ideas next to each other and see what happens where they meet. More strategies: uncommonsense.org.uk/strategies,Put two unrelated ideas next to each other and see what happens where they meet. More strategies – link in bio.,Uncommon Strategies card: 'Find where two unrelated ideas touch'. Cream serif type on a forest green background.,all,
2026-09-03,images/us-032-what-is-being-normalised-here.jpg,"Yesterday's unthinkable often becomes today's unremarkable, without anyone announcing it. Try to catch it happening. Stuck? Pick a card: uncommonsense.org.uk/strategies","Yesterday's unthinkable often becomes today's unremarkable, without anyone announcing it. Try to catch it happening. Stuck? Pick a card – link in bio.",Uncommon Strategies card: 'What is being normalised here?'. Cream serif type on a forest green background.,all,
2026-09-04,images/us-033-ask-what-this-moment-is-a-symptom-of.jpg,"If you treat the event as a symptom rather than the illness, the diagnosis changes. Shuffle the deck: uncommonsense.org.uk/strategies","If you treat the event as a symptom rather than the illness, the diagnosis changes. Shuffle the deck – link in bio.",Uncommon Strategies card: 'Ask what this moment is a symptom of'. Cream serif type on a forest green background.,all,
2026-09-05,images/us-034-say-the-hopeful-thing-and-mean-it.jpg,"Cynicism is easy and looks clever. Hope, sincerely meant, takes real bravery. 99 cards, one habit of mind: uncommonsense.org.uk/strategies","Cynicism is easy and looks clever. Hope, sincerely meant, takes real bravery. 99 cards, one habit of mind – link in bio.",Uncommon Strategies card: 'Say the hopeful thing and mean it'. Cream serif type on a forest green background.,all,
2026-09-06,images/us-035-look-at-what-is-thriving-not-just-what-i.jpg,"Failure gets the headlines, so what's quietly thriving and why is nobody studying it? The rest of the deck: uncommonsense.org.uk/strategies","Failure gets the headlines, so what's quietly thriving and why is nobody studying it? The rest of the deck – link in bio.","Uncommon Strategies card: 'Look at what is thriving, not just what is failing'. Cream serif type on a forest green background.",all,
2026-09-07,images/us-036-what-would-this-look-like-to-someone-enc.jpg,"The longer you look at something, the less strange it seems. Borrow the eyes of someone seeing it for the first time. Draw a card: uncommonsense.org.uk/strategies","The longer you look at something, the less strange it seems. Borrow the eyes of someone seeing it for the first time. Draw a card – link in bio.",Uncommon Strategies card: 'What would this look like to someone encountering it for the first time?'. Cream serif type on a forest green background.,all,
2026-09-08,images/us-037-find-the-pattern-across-three-different-.jpg,A pattern in one field is an anecdote. The same pattern in three different fields is a finding. The full deck: uncommonsense.org.uk/strategies,A pattern in one field is an anecdote. The same pattern in three different fields is a finding. The full deck – link in bio.,Uncommon Strategies card: 'Find the pattern across three different domains'. Cream serif type on a forest green background.,all,
2026-09-09,images/us-038-sit-with-the-contradiction-rather-than-r.jpg,Contradictions usually get resolved too quickly. Sit with one for a while: it's trying to tell you something. More strategies: uncommonsense.org.uk/strategies,Contradictions usually get resolved too quickly. Sit with one for a while: it's trying to tell you something. More strategies – link in bio.,Uncommon Strategies card: 'Sit with the contradiction rather than resolving it too quickly'. Cream serif type on a forest green background.,all,
2026-09-10,images/us-039-what-would-change-if-this-were-true.jpg,Take the claim seriously for 10 minutes. What would have to change if it turned out to be true? Stuck? Pick a card: uncommonsense.org.uk/strategies,Take the claim seriously for 10 minutes. What would have to change if it turned out to be true? Stuck? Pick a card – link in bio.,Uncommon Strategies card: 'What would change if this were true?'. Cream serif type on a forest green background.,all,
2026-09-11,images/us-040-identify-the-story-doing-the-most-cultur.jpg,"At any moment, one story does most of the cultural heavy lifting. Working out which one it is could bring some clarity. Shuffle the deck: uncommonsense.org.uk/strategies","At any moment, one story does most of the cultural heavy lifting. Working out which one it is could bring some clarity. Shuffle the deck – link in bio.",Uncommon Strategies card: 'Identify the story doing the most cultural work right now'. Cream serif type on a forest green background.,all,
2026-09-12,images/us-041-ask-what-this-crisis-is-making-possible.jpg,"Every crisis closes doors, which get the coverage. But it opens others too, so look for them. 99 cards, one habit of mind: uncommonsense.org.uk/strategies","Every crisis closes doors, which get the coverage. But it opens others too, so look for them. 99 cards, one habit of mind – link in bio.",Uncommon Strategies card: 'Ask what this crisis is making possible'. Cream serif type on a forest green background.,all,
2026-09-13,images/us-042-think-about-the-infrastructure-not-just-.jpg,"The event gets the headlines, but the infrastructure underneath usually decided how it turned out. The rest of the deck: uncommonsense.org.uk/strategies","The event gets the headlines, but the infrastructure underneath usually decided how it turned out. The rest of the deck – link in bio.","Uncommon Strategies card: 'Think about the infrastructure, not just the event'. Cream serif type on a forest green background.",all,
2026-09-14,images/us-043-what-would-a-sceptic-say-are-they-right.jpg,"If a sceptic’s best objection survives contact with the evidence, you've learned something. Draw a card: uncommonsense.org.uk/strategies","If a sceptic’s best objection survives contact with the evidence, you've learned something. Draw a card – link in bio.",Uncommon Strategies card: 'What would a sceptic say? Are they right?'. Cream serif type on a forest green background.,all,
2026-09-15,images/us-044-translate-the-technical-into-the-human.jpg,Technical language tells you how the system works. Human language tells you what it does to or for people. Both are needed. The full deck: uncommonsense.org.uk/strategies,Technical language tells you how the system works. Human language tells you what it does to or for people. Both are needed. The full deck – link in bio.,Uncommon Strategies card: 'Translate the technical into the human'. Cream serif type on a forest green background.,all,
2026-09-16,images/us-045-find-the-precedent-in-an-unexpected-plac.jpg,"Someone, somewhere, has faced a version of this before – in another country, century or discipline. Find them. More strategies: uncommonsense.org.uk/strategies","Someone, somewhere, has faced a version of this before – in another country, century or discipline. Find them. More strategies – link in bio.",Uncommon Strategies card: 'Find the precedent in an unexpected place'. Cream serif type on a forest green background.,all,
2026-09-17,images/us-046-ask-what-this-moment-will-look-like-to-t.jpg,We're somebody else's history. Pause to ask what they'll make of this moment. Stuck? Pick a card: uncommonsense.org.uk/strategies,We're somebody else's history. Pause to ask what they'll make of this moment. Stuck? Pick a card – link in bio.,Uncommon Strategies card: 'Ask what this moment will look like to those who come after us'. Cream serif type on a forest green background.,all,
2026-09-18,images/us-047-look-for-the-thing-that-is-hiding-in-pla.jpg,"The hardest things to see are the ones hiding in plain sight, filed under 'obviously'. Shuffle the deck: uncommonsense.org.uk/strategies","The hardest things to see are the ones hiding in plain sight, filed under 'obviously'. Shuffle the deck – link in bio.",Uncommon Strategies card: 'Look for the thing that is hiding in plain sight'. Cream serif type on a forest green background.,all,
2026-09-19,images/us-048-ask-what-progress-actually-means-here.jpg,"The word progress does a lot of work that rarely gets examined. Progress towards what? 99 cards, one habit of mind: uncommonsense.org.uk/strategies","The word progress does a lot of work that rarely gets examined. Progress towards what? 99 cards, one habit of mind – link in bio.",Uncommon Strategies card: 'Ask what progress actually means here'. Cream serif type on a forest green background.,all,
2026-09-20,images/us-049-find-the-tension-between-how-things-are-.jpg,Map the gap between how things are and how they could be. The tension between the two is usually the story. The rest of the deck: uncommonsense.org.uk/strategies,Map the gap between how things are and how they could be. The tension between the two is usually the story. The rest of the deck – link in bio.,Uncommon Strategies card: 'Find the tension between how things are and how they could be'. Cream serif type on a forest green background.,all,
2026-09-21,images/us-050-what-story-are-we-telling-ourselves-and-.jpg,"Nations, companies and families all tell stories about themselves. The stories are rarely accidental. Draw a card: uncommonsense.org.uk/strategies","Nations, companies and families all tell stories about themselves. The stories are rarely accidental. Draw a card – link in bio.","Uncommon Strategies card: 'What story are we telling ourselves, and why?'. Cream serif type on a forest green background.",all,
2026-09-22,images/us-051-hold-the-complexity-resist-the-simplific.jpg,Simplifying is often a disservice to the truth. Explore the complexity a little longer. The full deck: uncommonsense.org.uk/strategies,Simplifying is often a disservice to the truth. Explore the complexity a little longer. The full deck – link in bio.,Uncommon Strategies card: 'Hold the complexity. Resist the simplification.'. Cream serif type on a forest green background.,all,
2026-09-23,images/us-052-what-would-it-mean-to-be-genuinely-hopef.jpg,Hope isn't optimism or naivety with better PR. It’s genuine and very human. More strategies: uncommonsense.org.uk/strategies,Hope isn't optimism or naivety with better PR. It’s genuine and very human. More strategies – link in bio.,Uncommon Strategies card: 'What would it mean to be genuinely hopeful about this?'. Cream serif type on a forest green background.,all,
2026-09-24,images/us-053-who-benefits-from-the-current-explanatio.jpg,"Every explanation is convenient for someone. Ask who finds this one convenient, and why. Stuck? Pick a card: uncommonsense.org.uk/strategies","Every explanation is convenient for someone. Ask who finds this one convenient, and why. Stuck? Pick a card – link in bio.",Uncommon Strategies card: 'Who benefits from the current explanation?'. Cream serif type on a forest green background.,all,
2026-09-25,images/us-054-what-does-this-look-like-in-100-years.jpg,"Try the 100-year view. It's unfair to almost everyone involved, but it's clarifying and costs nothing. Shuffle the deck: uncommonsense.org.uk/strategies","Try the 100-year view. It's unfair to almost everyone involved, but it's clarifying and costs nothing. Shuffle the deck – link in bio.",Uncommon Strategies card: 'What does this look like in 100 years?'. Cream serif type on a forest green background.,all,
2026-09-26,images/us-055-find-the-idea-that-connects-the-powerful.jpg,"Some ideas matter to the powerful and the powerless alike. Those are the ones worth considering. 99 cards, one habit of mind: uncommonsense.org.uk/strategies","Some ideas matter to the powerful and the powerless alike. Those are the ones worth considering. 99 cards, one habit of mind – link in bio.",Uncommon Strategies card: 'Find the idea that connects the powerful and the powerless'. Cream serif type on a forest green background.,all,
2026-09-27,images/us-056-what-would-change-if-we-measured-somethi.jpg,Measurements steer. Change what gets measured and you change where the whole thing goes. The rest of the deck: uncommonsense.org.uk/strategies,Measurements steer. Change what gets measured and you change where the whole thing goes. The rest of the deck – link in bio.,Uncommon Strategies card: 'What would change if we measured something different?'. Cream serif type on a forest green background.,all,
2026-09-28,images/us-057-ask-what-the-exception-reveals-about-the.jpg,Exceptions aren't noise to be tidied away. They show you exactly where the rule stops working. Draw a card: uncommonsense.org.uk/strategies,Exceptions aren't noise to be tidied away. They show you exactly where the rule stops working. Draw a card – link in bio.,Uncommon Strategies card: 'Ask what the exception reveals about the rule'. Cream serif type on a forest green background.,all,
2026-09-29,images/us-058-where-does-the-official-story-break-down.jpg,Official stories carry a lot of weight. Find where this one creaks. The full deck: uncommonsense.org.uk/strategies,Official stories carry a lot of weight. Find where this one creaks. The full deck – link in bio.,Uncommon Strategies card: 'Where does the official story break down?'. Cream serif type on a forest green background.,all,
2026-09-30,images/us-059-what-is-the-cost-of-the-current-consensu.jpg,Every consensus has running costs. Ask who's paying them. More strategies: uncommonsense.org.uk/strategies,Every consensus has running costs. Ask who's paying them. More strategies – link in bio.,Uncommon Strategies card: 'What is the cost of the current consensus?'. Cream serif type on a forest green background.,all,
2026-10-01,images/us-060-look-at-what-everyone-has-stopped-talkin.jpg,What has everyone stopped talking about and when did the talking stop? Stuck? Pick a card: uncommonsense.org.uk/strategies,What has everyone stopped talking about and when did the talking stop? Stuck? Pick a card – link in bio.,Uncommon Strategies card: 'Look at what everyone has stopped talking about'. Cream serif type on a forest green background.,all,
2026-10-02,images/us-061-what-would-a-poet-notice-here-that-an-an.jpg,An analyst counts what's there. A poet notices what it's like. Both are collecting data. Shuffle the deck: uncommonsense.org.uk/strategies,An analyst counts what's there. A poet notices what it's like. Both are collecting data. Shuffle the deck – link in bio.,Uncommon Strategies card: 'What would a poet notice here that an analyst would miss?'. Cream serif type on a forest green background.,all,
2026-10-03,images/us-062-find-the-moment-when-things-could-have-g.jpg,"History turns on small moments when things could have gone the other way. This week probably contains one. 99 cards, one habit of mind: uncommonsense.org.uk/strategies","History turns on small moments when things could have gone the other way. This week probably contains one. 99 cards, one habit of mind – link in bio.",Uncommon Strategies card: 'Find the moment when things could have gone differently'. Cream serif type on a forest green background.,all,
2026-10-04,images/us-063-what-are-the-second-order-consequences.jpg,The first consequence is obvious. The second and third are underexplored. The rest of the deck: uncommonsense.org.uk/strategies,The first consequence is obvious. The second and third are underexplored. The rest of the deck – link in bio.,Uncommon Strategies card: 'What are the second-order consequences?'. Cream serif type on a forest green background.,all,
2026-10-05,images/us-064-ask-what-this-would-look-like-if-it-work.jpg,"Imagine this actually worked. If you can describe what that looks like, you know what to look for. Draw a card: uncommonsense.org.uk/strategies","Imagine this actually worked. If you can describe what that looks like, you know what to look for. Draw a card – link in bio.",Uncommon Strategies card: 'Ask what this would look like if it worked'. Cream serif type on a forest green background.,all,
2026-10-06,images/us-065-which-voices-have-been-edited-out-of-thi.jpg,Every account is edited. The voices left on the cutting-room floor are usually the more interesting ones. The full deck: uncommonsense.org.uk/strategies,Every account is edited. The voices left on the cutting-room floor are usually the more interesting ones. The full deck – link in bio.,Uncommon Strategies card: 'Which voices have been edited out of this account?'. Cream serif type on a forest green background.,all,
2026-10-07,images/us-066-find-the-assumption-buried-so-deep-no-on.jpg,The deepest assumptions are buried so far down that nobody thinks to argue about them. Start digging. More strategies: uncommonsense.org.uk/strategies,The deepest assumptions are buried so far down that nobody thinks to argue about them. Start digging. More strategies – link in bio.,Uncommon Strategies card: 'Find the assumption buried so deep no one questions it'. Cream serif type on a forest green background.,all,
2026-10-08,images/us-067-what-is-the-system-optimising-for-and-fo.jpg,"Every system is optimising for something, but it’s rarely what it says on the tin – and rarely for everyone. Stuck? Pick a card: uncommonsense.org.uk/strategies","Every system is optimising for something, but it’s rarely what it says on the tin – and rarely for everyone. Stuck? Pick a card – link in bio.","Uncommon Strategies card: 'What is the system optimising for, and for whom?'. Cream serif type on a forest green background.",all,
2026-10-09,images/us-068-read-this-backwards-from-consequence-to-.jpg,"Run the story backwards, starting with the consequence and tracing it to the cause. It's a different story, isn’t it? Shuffle the deck: uncommonsense.org.uk/strategies","Run the story backwards, starting with the consequence and tracing it to the cause. It's a different story, isn’t it? Shuffle the deck – link in bio.",Uncommon Strategies card: 'Read this backwards – from consequence to cause'. Cream serif type on a forest green background.,all,
2026-10-10,images/us-069-what-would-an-outsider-find-strangest-ab.jpg,"Whatever baffles an outsider is worth knowing. 99 cards, one habit of mind: uncommonsense.org.uk/strategies","Whatever baffles an outsider is worth knowing. 99 cards, one habit of mind – link in bio.",Uncommon Strategies card: 'What would an outsider find strangest about this?'. Cream serif type on a forest green background.,all,
2026-10-11,images/us-070-ask-what-this-has-in-common-with-somethi.jpg,"This might sound like a parlour game, but it's also how breakthroughs tend to happen. The rest of the deck: uncommonsense.org.uk/strategies","This might sound like a parlour game, but it's also how breakthroughs tend to happen. The rest of the deck – link in bio.",Uncommon Strategies card: 'Ask what this has in common with something completely unrelated'. Cream serif type on a forest green background.,all,
2026-10-12,images/us-071-find-the-place-where-two-orthodoxies-con.jpg,Find a spot where two accepted truths contradict each other. They can't both be right. Draw a card: uncommonsense.org.uk/strategies,Find a spot where two accepted truths contradict each other. They can't both be right. Draw a card – link in bio.,Uncommon Strategies card: 'Find the place where two orthodoxies contradict each other'. Cream serif type on a forest green background.,all,
2026-10-13,images/us-072-what-are-people-defending-that-they-cann.jpg,"The harder people work defending the indefensible, the more it tells you. The full deck: uncommonsense.org.uk/strategies","The harder people work defending the indefensible, the more it tells you. The full deck – link in bio.",Uncommon Strategies card: 'What are people defending that they cannot defend?'. Cream serif type on a forest green background.,all,
2026-10-14,images/us-073-look-for-the-moment-of-transition-not-th.jpg,A stable state is a photograph. The transition is the film. Watch the film. More strategies: uncommonsense.org.uk/strategies,A stable state is a photograph. The transition is the film. Watch the film. More strategies – link in bio.,"Uncommon Strategies card: 'Look for the moment of transition, not the stable state'. Cream serif type on a forest green background.",all,
2026-10-15,images/us-074-what-would-have-to-change-for-this-to-fe.jpg,Nothing feels inevitable until quite late in the process. What would have to change for this to feel that way? Stuck? Pick a card: uncommonsense.org.uk/strategies,Nothing feels inevitable until quite late in the process. What would have to change for this to feel that way? Stuck? Pick a card – link in bio.,Uncommon Strategies card: 'What would have to change for this to feel inevitable?'. Cream serif type on a forest green background.,all,
2026-10-16,images/us-075-ask-what-the-data-would-look-like-if-the.jpg,"If the opposite were true, what would the evidence look like? Now go and check what it actually looks like. Shuffle the deck: uncommonsense.org.uk/strategies","If the opposite were true, what would the evidence look like? Now go and check what it actually looks like. Shuffle the deck – link in bio.",Uncommon Strategies card: 'Ask what the data would look like if the opposite were true'. Cream serif type on a forest green background.,all,
2026-10-17,images/us-076-find-the-human-cost-inside-the-abstracti.jpg,"Abstractions are comfortable because nobody gets hurt in them. Find the human cost folded inside this one. 99 cards, one habit of mind: uncommonsense.org.uk/strategies","Abstractions are comfortable because nobody gets hurt in them. Find the human cost folded inside this one. 99 cards, one habit of mind – link in bio.",Uncommon Strategies card: 'Find the human cost inside the abstraction'. Cream serif type on a forest green background.,all,
2026-10-18,images/us-077-what-is-the-question-that-makes-people-u.jpg,The question that makes everyone shift in their seats is usually the one holding the whole thing up. The rest of the deck: uncommonsense.org.uk/strategies,The question that makes everyone shift in their seats is usually the one holding the whole thing up. The rest of the deck – link in bio.,Uncommon Strategies card: 'What is the question that makes people uncomfortable?'. Cream serif type on a forest green background.,all,
